Fecha,Calorias_(kcal),Distancia_(m),Frecuencia_cardiaca_media_(ppm),Frecuencia cardiaca maxima (ppm),Frecuencia cardiaca minima (ppm),Latitud baja (grados),Longitud baja (grados),Latitud alta (grados),Longitud alta (grados),Velocidad media (m/s),Velocidad maxima (m/s),Velocidad minima (m/s),Recuento de pasos,Peso medio (kg),Peso maximo (kg),Peso minimo (kg),Bicicleta duracion (ms),Inactivo duracion (ms),Andar duracion (ms),Correr duracion (ms),Dormir_duracion_(ms),Suenoo ligero duracion (ms),Sueno profundo duracion (ms),Desvelo duracion (ms)
2018-04-10,8092.037315323586,15065.55723506934,0.0,0.0,0.0,8.975449562072754,-79.5322265625,9.107415199279783,-79.3987045288086,0.9061792120054524,42.0,0.0,17862.0,0.0,0.0,0.0,0.0,29238075.0,17978445.0,6300000.0,0.0,18960000.0,4860000.0,1380000.0
2018-04-11,11547.906501618258,15100.943484306335,0.0,0.0,0.0,9.078705787658693,-79.41649627685547,9.107267379760742,-79.39976501464844,0.32246370499512605,7.271512508392334,0.0,15123.0,0.0,0.0,0.0,0.0,23639908.0,17760092.0,15540000.0,21480000.0,4140000.0,3840000.0,0.0
2018-04-12,9404.29467116125,13160.18219862935,0.0,0.0,0.0,9.019615173339844,-79.53287506103516,9.097166061401367,-79.39832305908203,0.4537384498224245,22.0,0.0,17569.0,0.0,0.0,0.0,0.0,24344606.0,22163835.0,8040000.0,0.0,21780000.0,4980000.0,0.0
2018-04-13,11827.99721274066,27938.841283906007,0.0,0.0,0.0,9.019625663757324,-79.53759002685547,9.10730266571045,-79.40045928955078,0.6146045155563594,19.13999938964844,0.0,15858.0,0.0,0.0,0.0,0.0,25745600.0,20118885.0,12540000.0,0.0,16800000.0,5040000.0,0.0
2018-04-14,9266.153172915669,21563.144255103598,0.0,0.0,0.0,9.078656196594238,-79.41571044921875,9.107297897338867,-79.39801025390625,0.4050735166994982,14.739999771118164,0.0,13747.0,0.0,0.0,0.0,1352051.0,24591376.0,21599198.0,5940000.0,28920000.0,3300000.0,0.0,0.0
2018-04-15,10317.178758814724,9662.58238000172,0.0,0.0,0.0,9.078656196594238,-79.41665649414062,9.107269287109377,-79.40015411376953,0.5489265849171405,5.949999809265138,0.0,13449.0,0.0,0.0,0.0,0.0,23755435.0,11292311.0,15600000.0,0.0,28500000.0,6420000.0,0.0
2018-04-16,9724.199134226306,15317.268486335664,0.0,0.0,0.0,9.020994186401367,-79.53712463378906,9.098583221435547,-79.39989471435547,0.4036842433949969,11.270000457763672,0.0,19467.0,0.0,0.0,0.0,0.0,21624196.0,23527640.0,8280000.0,0.0,22620000.0,2880000.0,1020000.0
2018-04-17,9512.242694733652,14053.337671164905,0.0,0.0,0.0,9.019662857055664,-79.53240966796875,9.10580825805664,-79.39947509765625,0.4506926855989006,32.080001831054695,0.0,15805.0,0.0,0.0,0.0,0.0,29035068.0,18772251.0,9660000.0,0.0,22140000.0,3540000.0,0.0
2018-04-18,6061.22117327414,5807.8788113594055,0.0,0.0,0.0,9.078021049499512,-79.4165267944336,9.106470108032227,-79.39346313476562,0.3902880834141629,9.3100004196167,0.0,9100.0,0.0,0.0,0.0,0.0,37209364.0,13049471.0,3000000.0,0.0,26340000.0,4380000.0,0.0
2018-04-19,7867.147938834296,14488.319641590117,0.0,0.0,0.0,9.019678115844727,-79.53215026855469,9.10733127593994,-79.39949035644531,0.4593001509266781,8.0,0.0,13963.0,0.0,0.0,0.0,0.0,30452407.0,16126830.0,6360000.0,0.0,21720000.0,4200000.0,840000.0
2018-04-20,10374.921127290141,20248.11811761558,0.0,0.0,0.0,9.019631385803224,-79.53514099121094,9.106575012207033,-79.39934539794922,0.5069277688941541,12.202953338623047,0.0,13031.0,0.0,0.0,0.0,0.0,26583228.0,19033568.0,9180000.0,0.0,18840000.0,7440000.0,120000.0
2018-04-21,9009.285752057422,11476.653061281171,0.0,0.0,0.0,9.07746696472168,-79.41665649414062,9.106573104858398,-79.39948272705078,0.21294555836973567,1.8333332538604736,0.0,15781.0,0.0,0.0,0.0,0.0,25735388.0,19969240.0,7980000.0,0.0,26100000.0,5220000.0,0.0
2018-04-22,7609.641355956834,9519.009219099557,0.0,0.0,0.0,9.07777500152588,-79.4135971069336,9.10568618774414,-79.39929962158203,0.463279139523323,1.8500000238418581,0.0032763532362878323,15109.0,0.0,0.0,0.0,0.0,29976749.0,19523116.0,4320000.0,0.0,27840000.0,2700000.0,0.0
